# Automated Sine Wave Measurement
# Timestamp,2025-12-11 15:28:40
# Frequency (Hz),5000
# Amplitude Set (Vpp),3.0
# VPP Measured (V),5.080000
# Vmax (V),2.532800
# Vmin (V),-2.547200
# VRMS (V),1.652961

Time (s),Voltage (V)
-0.000060000,1.572800
-0.000059900,1.492800
-0.000059800,1.572800
-0.000059700,1.452800
-0.000059600,1.452800
-0.000059500,1.532800
-0.000059400,1.492800
-0.000059300,1.412800
-0.000059200,1.492800
-0.000059100,1.372800
-0.000059000,1.452800
-0.000058900,1.372800
-0.000058800,1.412800
-0.000058700,1.332800
-0.000058600,1.412800
-0.000058500,1.332800
-0.000058400,1.372800
-0.000058300,1.292800
-0.000058200,1.332800
-0.000058100,1.292800
-0.000058000,1.252800
-0.000057900,1.332800
-0.000057800,1.292800
-0.000057700,1.212800
-0.000057600,1.292800
-0.000057500,1.172800
-0.000057400,1.172800
-0.000057300,1.252800
-0.000057200,1.172800
-0.000057100,1.092800
-0.000057000,1.172800
-0.000056900,1.092800
-0.000056800,1.132800
-0.000056700,1.052800
-0.000056600,1.092800
-0.000056500,1.012800
-0.000056400,1.092800
-0.000056300,1.012800
-0.000056200,1.052800
-0.000056100,0.972800
-0.000056000,1.012800
-0.000055900,0.932800
-0.000055800,1.012800
-0.000055700,0.932800
-0.000055600,0.972800
-0.000055500,0.892800
-0.000055400,0.972800
-0.000055300,0.852800
-0.000055200,0.852800
-0.000055100,0.932800
-0.000055000,0.892800
-0.000054900,0.812800
-0.000054800,0.852800
-0.000054700,0.772800
-0.000054600,0.852800
-0.000054500,0.732800
-0.000054400,0.812800
-0.000054300,0.692800
-0.000054200,0.772800
-0.000054100,0.692800
-0.000054000,0.732800
-0.000053900,0.652800
-0.000053800,0.652800
-0.000053700,0.732800
-0.000053600,0.692800
-0.000053500,0.612800
-0.000053400,0.652800
-0.000053300,0.572800
-0.000053200,0.612800
-0.000053100,0.532800
-0.000053000,0.612800
-0.000052900,0.492800
-0.000052800,0.572800
-0.000052700,0.492800
-0.000052600,0.532800
-0.000052500,0.452800
-0.000052400,0.492800
-0.000052300,0.412800
-0.000052200,0.412800
-0.000052100,0.492800
-0.000052000,0.412800
-0.000051900,0.332800
-0.000051800,0.372800
-0.000051700,0.292800
-0.000051600,0.372800
-0.000051500,0.292800
-0.000051400,0.332800
-0.000051300,0.252800
-0.000051200,0.292800
-0.000051100,0.212800
-0.000051000,0.252800
-0.000050900,0.172800
-0.000050800,0.172800
-0.000050700,0.252800
-0.000050600,0.212800
-0.000050500,0.132800
-0.000050400,0.172800
-0.000050300,0.092800
-0.000050200,0.172800
-0.000050100,0.052800
-0.000050000,0.132800
-0.000049900,0.052800
-0.000049800,0.092800
-0.000049700,0.012800
-0.000049600,0.052800
-0.000049500,-0.027200
-0.000049400,0.012800
-0.000049300,-0.067200
-0.000049200,0.012800
-0.000049100,-0.067200
-0.000049000,-0.027200
-0.000048900,-0.107200
-0.000048800,-0.067200
-0.000048700,-0.147200
-0.000048600,-0.067200
-0.000048500,-0.187200
-0.000048400,-0.107200
-0.000048300,-0.187200
-0.000048200,-0.147200
-0.000048100,-0.227200
-0.000048000,-0.147200
-0.000047900,-0.267200
-0.000047800,-0.267200
-0.000047700,-0.187200
-0.000047600,-0.307200
-0.000047500,-0.227200
-0.000047400,-0.267200
-0.000047300,-0.347200
-0.000047200,-0.307200
-0.000047100,-0.427200
-0.000047000,-0.347200
-0.000046900,-0.427200
-0.000046800,-0.387200
-0.000046700,-0.467200
-0.000046600,-0.427200
-0.000046500,-0.507200
-0.000046400,-0.427200
-0.000046300,-0.507200
-0.000046200,-0.467200
-0.000046100,-0.547200
-0.000046000,-0.507200
-0.000045900,-0.587200
-0.000045800,-0.547200
-0.000045700,-0.627200
-0.000045600,-0.547200
-0.000045500,-0.667200
-0.000045400,-0.587200
-0.000045300,-0.667200
-0.000045200,-0.627200
-0.000045100,-0.707200
-0.000045000,-0.667200
-0.000044900,-0.747200
-0.000044800,-0.747200
-0.000044700,-0.667200
-0.000044600,-0.707200
-0.000044500,-0.787200
-0.000044400,-0.747200
-0.000044300,-0.827200
-0.000044200,-0.747200
-0.000044100,-0.867200
-0.000044000,-0.867200
-0.000043900,-0.787200
-0.000043800,-0.827200
-0.000043700,-0.907200
-0.000043600,-0.827200
-0.000043500,-0.947200
-0.000043400,-0.867200
-0.000043300,-0.947200
-0.000043200,-0.987200
-0.000043100,-0.907200
-0.000043000,-0.947200
-0.000042900,-1.027200
-0.000042800,-0.947200
-0.000042700,-1.067200
-0.000042600,-0.987200
-0.000042500,-1.067200
-0.000042400,-1.027200
-0.000042300,-1.107200
-0.000042200,-1.027200
-0.000042100,-1.187200
-0.000042000,-1.067200
-0.000041900,-1.187200
-0.000041800,-1.107200
-0.000041700,-1.227200
-0.000041600,-1.147200
-0.000041500,-1.227200
-0.000041400,-1.187200
-0.000041300,-1.267200
-0.000041200,-1.227200
-0.000041100,-1.307200
-0.000041000,-1.227200
-0.000040900,-1.347200
-0.000040800,-1.267200
-0.000040700,-1.347200
-0.000040600,-1.307200
-0.000040500,-1.387200
-0.000040400,-1.307200
-0.000040300,-1.387200
-0.000040200,-1.347200
-0.000040100,-1.427200
-0.000040000,-1.347200
-0.000039900,-1.467200
-0.000039800,-1.387200
-0.000039700,-1.467200
-0.000039600,-1.387200
-0.000039500,-1.507200
-0.000039400,-1.427200
-0.000039300,-1.507200
-0.000039200,-1.467200
-0.000039100,-1.547200
-0.000039000,-1.467200
-0.000038900,-1.587200
-0.000038800,-1.507200
-0.000038700,-1.587200
-0.000038600,-1.547200
-0.000038500,-1.627200
-0.000038400,-1.547200
-0.000038300,-1.667200
-0.000038200,-1.587200
-0.000038100,-1.667200
-0.000038000,-1.627200
-0.000037900,-1.707200
-0.000037800,-1.707200
-0.000037700,-1.627200
-0.000037600,-1.667200
-0.000037500,-1.747200
-0.000037400,-1.667200
-0.000037300,-1.747200
-0.000037200,-1.707200
-0.000037100,-1.787200
-0.000037000,-1.787200
-0.000036900,-1.707200
-0.000036800,-1.747200
-0.000036700,-1.827200
-0.000036600,-1.827200
-0.000036500,-1.747200
-0.000036400,-1.867200
-0.000036300,-1.787200
-0.000036200,-1.827200
-0.000036100,-1.907200
-0.000036000,-1.867200
-0.000035900,-1.947200
-0.000035800,-1.867200
-0.000035700,-1.947200
-0.000035600,-1.907200
-0.000035500,-1.987200
-0.000035400,-1.907200
-0.000035300,-1.987200
-0.000035200,-1.947200
-0.000035100,-2.027200
-0.000035000,-1.947200
-0.000034900,-2.027200
-0.000034800,-1.987200
-0.000034700,-2.067200
-0.000034600,-1.987200
-0.000034500,-2.067200
-0.000034400,-1.987200
-0.000034300,-2.067200
-0.000034200,-2.027200
-0.000034100,-2.107200
-0.000034000,-2.107200
-0.000033900,-2.027200
-0.000033800,-2.067200
-0.000033700,-2.147200
-0.000033600,-2.067200
-0.000033500,-2.147200
-0.000033400,-2.067200
-0.000033300,-2.187200
-0.000033200,-2.187200
-0.000033100,-2.107200
-0.000033000,-2.107200
-0.000032900,-2.187200
-0.000032800,-2.147200
-0.000032700,-2.227200
-0.000032600,-2.147200
-0.000032500,-2.227200
-0.000032400,-2.147200
-0.000032300,-2.227200
-0.000032200,-2.187200
-0.000032100,-2.267200
-0.000032000,-2.187200
-0.000031900,-2.267200
-0.000031800,-2.227200
-0.000031700,-2.307200
-0.000031600,-2.227200
-0.000031500,-2.307200
-0.000031400,-2.227200
-0.000031300,-2.307200
-0.000031200,-2.227200
-0.000031100,-2.347200
-0.000031000,-2.267200
-0.000030900,-2.347200
-0.000030800,-2.347200
-0.000030700,-2.267200
-0.000030600,-2.307200
-0.000030500,-2.387200
-0.000030400,-2.307200
-0.000030300,-2.387200
-0.000030200,-2.387200
-0.000030100,-2.307200
-0.000030000,-2.307200
-0.000029900,-2.427200
-0.000029800,-2.347200
-0.000029700,-2.427200
-0.000029600,-2.347200
-0.000029500,-2.427200
-0.000029400,-2.427200
-0.000029300,-2.347200
-0.000029200,-2.427200
-0.000029100,-2.347200
-0.000029000,-2.427200
-0.000028900,-2.347200
-0.000028800,-2.387200
-0.000028700,-2.467200
-0.000028600,-2.467200
-0.000028500,-2.387200
-0.000028400,-2.387200
-0.000028300,-2.507200
-0.000028200,-2.467200
-0.000028100,-2.387200
-0.000028000,-2.467200
-0.000027900,-2.427200
-0.000027800,-2.507200
-0.000027700,-2.387200
-0.000027600,-2.427200
-0.000027500,-2.507200
-0.000027400,-2.427200
-0.000027300,-2.507200
-0.000027200,-2.507200
-0.000027100,-2.427200
-0.000027000,-2.507200
-0.000026900,-2.427200
-0.000026800,-2.427200
-0.000026700,-2.547200
-0.000026600,-2.507200
-0.000026500,-2.427200
-0.000026400,-2.467200
-0.000026300,-2.547200
-0.000026200,-2.467200
-0.000026100,-2.547200
-0.000026000,-2.467200
-0.000025900,-2.547200
-0.000025800,-2.547200
-0.000025700,-2.467200
-0.000025600,-2.467200
-0.000025500,-2.547200
-0.000025400,-2.547200
-0.000025300,-2.467200
-0.000025200,-2.547200
-0.000025100,-2.467200
-0.000025000,-2.467200
-0.000024900,-2.547200
-0.000024800,-2.547200
-0.000024700,-2.467200
-0.000024600,-2.547200
-0.000024500,-2.467200
-0.000024400,-2.547200
-0.000024300,-2.467200
-0.000024200,-2.467200
-0.000024100,-2.547200
-0.000024000,-2.467200
-0.000023900,-2.547200
-0.000023800,-2.547200
-0.000023700,-2.467200
-0.000023600,-2.547200
-0.000023500,-2.467200
-0.000023400,-2.547200
-0.000023300,-2.467200
-0.000023200,-2.547200
-0.000023100,-2.467200
-0.000023000,-2.547200
-0.000022900,-2.467200
-0.000022800,-2.547200
-0.000022700,-2.467200
-0.000022600,-2.547200
-0.000022500,-2.467200
-0.000022400,-2.467200
-0.000022300,-2.547200
-0.000022200,-2.547200
-0.000022100,-2.427200
-0.000022000,-2.427200
